station_code,line_code,index,numbering,impl
101011,1010,11,NULL,1
101012,1010,12,NULL,1
100423,1011,1,NULL,1
101102,1011,2,NULL,1
101103,1011,3,NULL,1
101104,1011,4,NULL,1
1110101,11101,1,H75,1
1110102,11101,2,H74,1
1110103,11101,3,H73,1
1110104,11101,4,H72,1
1110105,11101,5,H71,1
101104,11101,6,H70,1
1110107,11101,7,H69,1
1110108,11101,8,H68,1
1110109,11101,9,H67,1
1110110,11101,10,H66,1
1110111,11101,11,H65,1
1110112,11101,12,H64,1
1110113,11101,13,H63,1
1110114,11101,14,N71,1
1110115,11101,15,N70,1
1110116,11101,16,N69,1
1110117,11101,17,N68,1
1110118,11101,18,N67,1
1110119,11101,19,N66,1
1110120,11101,20,N65,1
1110121,11101,21,N64,1
1110122,11101,22,N63,1
1110123,11101,23,H62,1
1110124,11101,24,H61,1
1110125,11101,25,H60,1
1110126,11101,26,H59,1
1110127,11101,27,H58,1
1110128,11101,28,H57,1
1110129,11101,29,H56,1
1110130,11101,30,H55,1
1110131,11101,31,H54,1
1110132,11101,32,H53,1
1110133,11101,33,H52,1
1110134,11101,34,H51,1
1110135,11101,35,H50,1
1110136,11101,36,H49,1
1110137,11101,37,H48,1
1110138,11101,38,H47,1
1110138,11102,1,H47,1
1110202,11102,2,S32,1
1110203,11102,3,S31,1
1110204,11102,4,S30,1
1110205,11102,5,S29,1
1110206,11102,6,S28,1
1110207,11102,7,S27,1
1110208,11102,8,S26,1
1110209,11102,9,S25,1
1110210,11102,10,S24,1
1110211,11102,11,S23,1
1110212,11102,12,S22,1
1110213,11102,13,S21,1
1110214,11102,14,S20,1
1110215,11102,15,S19,1
1110216,11102,16,S18,1
1110217,11102,17,S17,1
1110218,11102,18,S16,1
1110219,11102,19,S15,1
1110219,11103,1,S15,1
1110302,11103,2,S14,1
1110303,11103,3,S13,1
1110304,11103,4,S12,1
1110305,11103,5,S11,1
1110306,11103,6,S10,1
1110307,11103,7,S09,1
1110308,11103,8,S08,1
1110309,11103,9,S07,1
1110310,11103,10,S06,1
1110311,11103,11,S05,1
1110312,11103,12,S04,1
1110313,11103,13,S03,1
1110314,11103,14,S02,1
1110315,11103,15,01,1
1110316,11103,16,H02,1
1110317,11103,17,H03,1
1110318,11103,18,A04,1
1110319,11103,19,A05,1
1110320,11103,20,A06,1
1110321,11103,21,A07,1
1110322,11103,22,A08,1
1110323,11103,23,A09,1
1110324,11103,24,A10,1
1110325,11103,25,A11,1
1110326,11103,26,A12,1
1110327,11103,27,A13,1
1110328,11103,28,A14,1
1110329,11103,29,A15,1
1110330,11103,30,NULL,0
1110331,11103,31,A16,1
1110332,11103,32,A17,1
1110333,11103,33,A18,1
1110334,11103,34,A19,1
1110335,11103,35,A20,1
1110336,11103,36,NULL,0
1110337,11103,37,NULL,0
1110338,11103,38,NULL,0
1110339,11103,39,NULL,0
1110340,11103,40,A21,1
1110341,11103,41,A22,1
1110342,11103,42,A23,1
1110343,11103,43,A24,1
1110344,11103,44,A25,1
1110345,11103,45,NULL,1
1110346,11103,46,A26,1
1110347,11103,47,A27,1
1110348,11103,48,A28,1
