name,size
名鉄河和線,20
名鉄豊川線,5
ゆいレール,19
嘉手納線,3
西武西武園線,2
JR札沼線,31
上野懸垂線(上野動物園モノレール),2
京王動物園線,2
西武狭山線,3
JR千歳線,19
JR石勝線,15
札幌市営地下鉄東西線,19
JR函館本線(小樽～旭川),43
札幌市営地下鉄南北線,16
札幌市営地下鉄東豊線,14
JR只見線,38
JR弥彦線,8
JR磐越西線(森と水とロマンの鉄道),28
JR越後線,32
JR白新線,10
JR米坂線,20
JR陸羽西線(奥の細道最上川ライン),10
由利高原鉄道,12
JR奥羽本線(新庄～青森),67
JR男鹿線,9
JR五能線,43
秋田内陸縦貫鉄道,29
JR田沢湖線,18
JR釜石線(銀河ドリームライン釜石線),24
JR山田線,18
いわて銀河鉄道,18
JR大船渡線(ドラゴンレール大船渡線),39
JR陸羽東線(奥の細道湯けむりライン),27
JR石巻線,14
西武山口線,3
京阪宇治線,8
JR函館本線(函館～長万部),38
JR函館本線(長万部～小樽),19
JR室蘭本線(長万部・室蘭～苫小牧),34
JR室蘭本線(苫小牧～岩見沢),14
JR根室本線(滝川～新得),18
JR根室本線(新得～釧路),31
JR根室本線(花咲線)(釧路～根室),21
JR日高本線,29
JR留萌本線,20
JR富良野線,18
JR宗谷本線,53
JR石北本線,42
JR釧網本線,28
JR海峡線,5
JR江差線,22
JR東北本線(八戸～青森),20
JR大湊線(はまなすベイライン大湊線),11
JR津軽線,18
JR八戸線,24
JR岩泉線,9
JR花輪線(十和田八幡平四季彩ライン),27
JR左沢線(フルーツライン左沢線),12
JR気仙沼線,27
JR信越本線(篠ノ井～長野),5
JR北陸本線(富山～直江津),24
JR大糸線,42
JR城端線,14
JR氷見線,8
JR七尾線,20
JR越美北線(九頭竜線),23
JR小浜線,24
JR参宮線,11
JR名松線,15
JR阪和線(鳳～東羽衣),2
JR関西空港線,3
JR姫新線(佐用～新見),25
JR紀勢本線(和歌山～和歌山市),3
JR紀勢本線(きのくに線)(新宮～和歌山),54
JR土讃線,61
JR高徳線,29
JR徳島線(よしの川ブルーライン),26
JR牟岐線,29
JR鳴門線,7
JR予讃線,57
JR予讃・内子線,41
JR予土線(しまんとグリーンライン),22
JR鹿児島本線(川内～鹿児島),14
JR日豊本線(佐伯～鹿児島中央),56
JR豊肥本線(阿蘇高原線),37
JR三角線,13
JR肥薩線(えびの高原線)(八代～吉松),19
JR肥薩線(吉松～隼人),10
JR宮崎空港線,4
JR日南線,29
JR吉都線(えびの高原線),17
JR指宿枕崎線,36
東武鬼怒川線,9
西武秩父線,6
名鉄豊田線,9
名鉄空港線,3
名鉄知多新線,6
名鉄広見線,11
名鉄小牧線,14
名鉄羽島線,2
近鉄吉野線,16
近鉄山田線,14
近鉄鳥羽線,5
近鉄志摩線,16
近鉄御所線,4
近鉄信貴線,3
近鉄長野線,8
近鉄けいはんな線,8
近鉄西信貴ケーブル,2
近鉄生駒ケーブル,5
南海空港線,3
南海和歌山港線,2
南海高師浜線,3
南海加太線,9
南海多奈川線,4
南海高野山ケーブル,2
京阪交野線,8
阪急伊丹線,4
阪急箕面線,4
阪神武庫川線,4
函館市電２系統,23
函館市電５系統,23
津軽鉄道,12
弘南鉄道弘南線,13
弘南鉄道大鰐線,14
十和田観光電鉄,11
青い森鉄道,27
三陸鉄道北リアス線,17
三陸鉄道南リアス線,10
三陸鉄道リアス線,41
山形鉄道フラワー長井線,17
会津鉄道,21
野岩鉄道会津鬼怒川線,9
しなの鉄道,19
上田電鉄別所線,15
長野電鉄長野線,24
長野電鉄屋代線,13
松本電鉄上高地線,14
富山地鉄本線,41
富山地鉄立山線,14
富山地鉄不二越・上滝線,16
黒部峡谷鉄道,4
富山地鉄市内線,22
万葉線,25
富山地鉄富山港線,16
北陸鉄道石川線,17
北陸鉄道浅野川線,12
のと鉄道七尾線,8
えちぜん鉄道勝山永平寺線,23
えちぜん鉄道三国芦原線,24
福井鉄道福武線,25
富山地鉄富山都心線,5
伊豆急行,16
大井川鐵道井川線,14
東部丘陵線(リニモ),9
名古屋市営地下鉄上飯田線,2
豊橋鉄道運動公園前線,2
長良川鉄道越美南線,38
信楽高原鐵道,6
叡山電鉄鞍馬線,10
北大阪急行電鉄,6
能勢電鉄妙見線,14
泉北高速鉄道線,6
水間鉄道,10
OsakaMetro南港ポートタウン線,10
大阪モノレール彩都線,5
神鉄三田線,10
神鉄公園都市線,6
神鉄粟生線,20
能勢電鉄日生線,2
北条鉄道,8
紀州鉄道,5
わかやま電鉄貴志川線,14
OsakaMetro今里筋線,11
若桜鉄道,9
阿佐海岸鉄道阿佐東線,4
琴電琴平線,23
琴電長尾線,18
琴電志度線,16
伊予鉄道郡中線,12
伊予鉄道高浜線,10
伊予鉄道横河原線,15
伊予鉄道１系統(環状線),21
伊予鉄道２系統(環状線),21
伊予鉄道３系統(市駅線),11
伊予鉄道５系統(松山駅前線),13
伊予鉄道６系統(本町線),7
土佐くろしお鉄道中村線,15
土佐くろしお鉄道宿毛線,8
土佐くろしお鉄道ごめん・なはり線,21
とさでん交通後免線,33
とさでん交通伊野線,34
とさでん交通桟橋線,11
平成筑豊鉄道糸田線,6
平成筑豊鉄道田川線,17
長崎電軌１系統,26
長崎電軌３系統,24
長崎電軌４系統,10
長崎電軌５系統,13
熊本電鉄本線,13
熊本電鉄上熊本線,6
南阿蘇鉄道高森線,10
くま川鉄道湯前線,14
肥薩おれんじ鉄道,28
熊本市電Ａ系統,26
熊本市電Ｂ系統,28
鹿児島市電１系統,24
鹿児島市電２系統,20
南部縦貫鉄道線,11
北しなの線,8
日本海ひすいライン,13
あいの風とやま鉄道線,23
IRいしかわ鉄道線,19
福井鉄道鯖浦線,12
三木線,9
鍛冶屋原線,5
宮之城線,20
伊予鉄道森松線,3
横荘線,2
雄勝線,2
北海道新幹線,4
道南いさりび鉄道線,12
西九州新幹線,5
東急新横浜線,3
宇都宮芳賀ライトレール線,19
ハピラインふくい線,19
