code,name,ekimemo
1120428,北金ヶ沢,588
1120429,陸奥柳田,589
1120430,陸奥赤石,590
1120431,鰺ヶ沢,591
1120432,鳴沢,592
1120433,越水,593
1120434,陸奥森田,594
1120435,中田(青森),595
1120436,木造,596
1120437,五所川原,597
9920101,津軽五所川原,6361
1120438,陸奥鶴田,598
1120439,鶴泊,599
1120440,板柳,600
1120441,林崎,601
1120442,藤崎(青森),602
1120502,油川,603
1120503,津軽宮田,604
1120504,奥内,605
1120505,左堰,606
1120506,後潟,607
1120507,中沢,608
1120508,蓬田,609
1120509,郷沢,610
1120510,瀬辺地,611
1120511,蟹田,612
1120513,大平,613
1120515,大川平,615
1120516,今別,616
1120517,津軽浜名,617
1120518,三厩,618
1120602,長苗代,619
1120603,本八戸,620
1120604,小中野,621
1120605,陸奥湊,622
1120606,白銀,623
1120607,鮫,624
1120609,陸奥白浜,625
1120610,種差海岸,626
1120611,大久喜,627
1120612,金浜,628
1120613,大蛇,629
1120614,階上,630
1120615,角の浜,631
1120616,平内,632
1120617,種市,633
1120618,玉川(岩手),634
1120619,宿戸,635
1120620,陸中八木,636
1120621,有家,637
1120622,陸中中野,638
1120623,侍浜,639
1120624,陸中夏井,640
1120625,久慈,641
1120701,茂市,642
1120702,岩手刈屋,643
1120703,中里(岩手),644
1120704,岩手和井内,645
1120705,押角,646
1120706,岩手大川,647
1120707,浅内,648
1120708,二升石,649
1120709,岩泉,650
100414,一ノ関,651
1120802,真滝,652
1120803,陸中門崎,653
1120804,岩ノ下,654
1120805,陸中松川,655
1120806,猊鼻渓,656
1120807,柴宿,657
1120808,摺沢,658
1120809,千厩,659
1120810,小梨,660
1120811,矢越,661
1120812,折壁,662
1120813,新月,663
1120814,気仙沼,664
1120815,鹿折唐桑,665
1120816,上鹿折,666
1120817,陸前矢作,667
1120818,竹駒,668
1120819,陸前高田,669
1120820,脇ノ沢,670
1120821,小友,671
1120822,細浦,672
1120823,下船渡,673
1120824,大船渡,674
9920801,盛,675
1123176,花巻,676
1120902,似内,677
100417,新花巻,678
1120904,小山田,679
1120905,土沢,680
1120906,晴山,681
1120907,岩根橋,682
1120908,宮守,683
1120909,柏木平,684
1120910,鱒沢,685
1120911,荒谷前,686
1120912,岩手二日町,687
1120913,綾織,688
1120914,遠野,689
1120915,青笹,690
1120916,岩手上郷,691
1120917,平倉,692
1120918,足ヶ瀬,693
1120919,上有住,694
1120920,陸中大橋,695
1120921,洞泉,696
1120922,松倉,697
1120923,小佐野,698
1120924,釜石,699
100416,北上,700
1121002,柳原(岩手),701
1121003,江釣子,702
1121004,藤根,703
1121005,立川目,704
1121006,横川目,705
1121007,岩沢,706
1121008,和賀仙人,707
1121009,ゆだ錦秋湖,708
1121010,ほっとゆだ,709
1121011,ゆだ高原,710
1121012,黒沢(JR),711
1121013,小松川,712
1121014,平石(秋田),713
1121015,相野々,714
1121016,矢美津,715
100418,盛岡,716
1121102,前潟,9389
1121103,大釜,717
1121104,小岩井,718
1121105,雫石,719
1121106,春木場,720
1121107,赤渕,721
1121108,田沢湖,722
1121109,刺巻,723
1121110,神代(秋田),724
1121111,生田(秋田),725
1121112,角館,726
1121113,鶯野,727
1121114,羽後長野,728
1121115,鑓見内,729
1121116,羽後四ツ屋,730
1121117,北大曲,731
1121201,好摩,732
1121202,東大更,733
1121203,大更,734
1121204,平館,735
1121205,北森,736
1121206,松尾八幡平,737
1121207,安比高原,738
1121208,赤坂田,739
1121209,小屋の畑,740
1121210,荒屋新町,741
1121211,横間,742
1121212,田山,743
1121213,兄畑,744
1121214,湯瀬温泉,745
1121215,八幡平,746
1121216,陸中大里,747
1121217,鹿角花輪,748
1121218,柴平,749
1121219,十和田南,750
1121220,末広,751
1121221,土深井,752
1121222,沢尻,753
1121223,十二所,754
1121224,大滝温泉,755
1121225,扇田,756
1121226,東大館,757
1121302,上盛岡,758
1121303,山岸,759
1121304,上米内,760
1121305,大志田,761
1121306,浅岸,762
1121307,区界,763
1121308,松草,764
1121309,平津戸,765
1121310,川内(岩手),766
1121311,箱石,767
1121312,陸中川井,768
1121313,腹帯,769
1121315,蟇目,770
1121316,花原市,771
1121317,千徳,772
1121318,宮古,773
1121401,新津,785
1121402,京ヶ瀬,786
1121403,水原,787
1121404,神山,788
1121405,月岡(新潟),789
1121406,中浦,790
1121407,新発田,791
1121408,加治,792
1121409,金塚,793
1121410,中条,794
1121411,平木田,795
1121412,坂町,796
1121413,平林(新潟),797
1121414,岩船町,798
1121415,村上(新潟),799
1121416,間島,800
1121417,越後早川,801
1121418,桑川,802
1121419,今川(新潟),803
1121420,越後寒川,804
1121421,勝木,805
1121422,府屋,806
1121423,鼠ヶ関,807
1121424,小岩川,808
1121425,あつみ温泉,809
1121426,五十川,810
1121427,小波渡,811
1121428,三瀬,812
1121429,羽前水沢,813
1121430,羽前大山,814
1121431,鶴岡,815
1121432,藤島,816
1121433,西袋,817
1121434,余目,818
1121435,北余目,819
1121436,砂越,820
1121437,東酒田,821
1121438,酒田,822
1121439,本楯,823
1121440,南鳥海,824
1121441,遊佐,825
1121442,吹浦,826
1121443,女鹿,827
1121444,小砂川,828
1121445,上浜,829
1121446,象潟,830
1121447,金浦,831
1121448,仁賀保,832
1121449,西目,833
1121450,羽後本荘,834
1121451,羽後岩谷,835
1121452,折渡,836
1121453,羽後亀田,837
1121454,岩城みなと,838
1121455,道川,839
1121456,下浜,840
1121457,桂根,841
1121458,新屋(秋田),842
1121459,羽後牛島,843
1121502,出戸浜,844
1121503,上二田,845
1121504,二田,846
1121505,天王,847
1121506,船越,848
1121507,脇本,849
1121508,羽立,850
1121509,男鹿,851
100409,福島(福島),852
1121602,笹木野,853
1121603,庭坂,854
1121604,赤岩,855
1121605,板谷,856
1121606,峠,857
1121607,大沢(山形),858
1121608,関根,859
1121609,米沢,860
1121610,置賜,861
1121611,高畠,862
1121612,赤湯,863
1121613,中川(山形),864
1121614,羽前中山,865
1121615,かみのやま温泉,866
1121616,茂吉記念館前,867
1121617,蔵王,868
1121618,山形,869
1121619,北山形,870
1121620,羽前千歳,871
1121621,南出羽,872
1121622,漆山,873
1121623,高擶,874
1121636,天童南,9181
1121624,天童,875
1121625,乱川,876
1121626,神町,877
1121627,さくらんぼ東根,878
1121628,東根,879
1121629,村山(山形),880
1121630,袖崎,881
1121631,大石田,882
1121632,北大石田,883
1121633,芦沢,884
1121634,舟形,885
100411,仙台(JR),886
1121702,東照宮,887
1121703,北仙台,888
1121704,北山(宮城),889
1121722,東北福祉大前,902
1121705,国見(宮城),890
1121706,葛岡,891
1121707,陸前落合,892
1121708,愛子,893
1121709,陸前白沢,894
1121710,熊ヶ根,895
1121712,作並,896
1121714,奥新川,897
1121715,面白山高原,898
1121716,山寺,899
1121717,高瀬(山形),900
1121718,楯山,901
1121803,東金井,903
1121804,羽前山辺,904
1121805,羽前金沢,905
1121806,羽前長崎,906
1121807,南寒河江,907
1121808,寒河江,908
1121809,西寒河江,909
1121810,羽前高松,910
1121811,柴橋,911
1121812,左沢,912
1121902,南米沢,913
1121903,西米沢,914
1121904,成島(山形),915
1121905,中郡(山形),916
1121906,羽前小松,917
1121907,犬川,918
1121908,今泉,919
1121909,萩生,920
1121910,羽前椿,921
1121911,手ノ子,922
1121912,羽前沼沢,923
1121913,伊佐領,924
1121914,羽前松岡,925
1121915,小国,926
1121916,越後金丸,927
1121917,越後片貝,928
1121918,越後下関,929
1121919,越後大島,930
1122002,升形,931
1122003,羽前前波,932
1122004,津谷,933
1122005,古口,934
1122006,高屋,935
1122007,清川,936
1122008,狩川,937
1122009,南野,938
1123156,小牛田,939
1122102,北浦(宮城),940
1122103,陸前谷地,941
100412,古川,942
1122105,塚目,943
1122106,西古川,944
1122107,東大崎,945
1122108,西大崎,946
1122109,岩出山,947
1122110,有備館,948
1122111,上野目,949
1122112,池月,950
1122113,川渡温泉,951
1122114,鳴子御殿湯,952
1122115,鳴子温泉,953
1122116,中山平温泉,954
1122117,堺田,955
1122118,赤倉温泉,956
1122119,立小路,957
1122120,最上,958
1122121,大堀,959
1122122,鵜杉,960
1122123,瀬見温泉,961
1122124,東長沢,962
1122125,長沢,963
1122126,南新庄,964
1122201,あおば通,965
9921410,仙台(仙台市交通局),6534
1122203,榴ヶ岡,966
1122204,宮城野原,967
1122205,陸前原ノ町,968
1122206,苦竹,969
1122207,小鶴新田,970
1122208,福田町,971
1122209,陸前高砂,972
1122210,中野栄,973
1122211,多賀城,974
1122212,下馬,975
1122213,西塩釜,976
1122214,本塩釜,977
1122215,東塩釜,978
1122216,陸前浜田,979
1122217,松島海岸,980
1122218,高城町,981
1122219,手樽,982
1122220,陸前富山,983
1122221,陸前大塚,984
1122222,東名,985
1122223,野蒜,986
1122224,陸前小野,987
1122225,鹿妻,988
1122226,矢本,989
1122227,東矢本,990
1122228,陸前赤井,991
1122232,石巻あゆみ野,9304
1122229,蛇田,992
1122230,陸前山下,993
1122231,石巻,994
1122302,上涌谷,995
1122303,涌谷,996
1122304,前谷地,997
1122305,佳景山,998
1122306,鹿又,999
1122307,曽波神,1000
1122309,陸前稲井,1001
1122310,渡波,1002
1122311,万石浦,1003
1122312,沢田,1004
1122313,浦宿,1005
1122314,女川,1006
1122402,和渕,1007
1122403,のの岳,1008
1122404,陸前豊里,1009
1122405,御岳堂,1010
1122406,柳津(宮城),1011
1122407,陸前横山,1012
1122408,陸前戸倉,1013
1122409,志津川,1014
1122410,清水浜,1015
1122411,歌津,1016
1122412,陸前港,1017
1122413,蔵内,1018
1122414,陸前小泉,1019
1122415,本吉,1020
1122416,小金沢,1021
1122417,大谷海岸,1022
1122418,陸前階上,1023
1122419,最知,1024
1122420,松岩,1025
1122421,南気仙沼,1026
1122422,不動の沢,1027
100408,郡山(福島),1028
1122516,郡山富田,9315
1122502,喜久田,1029
1122503,安子ヶ島,1030
1122504,磐梯熱海,1031
1122505,中山宿,1032
1122506,上戸,1033
1122507,猪苗代湖畔,1034
1122508,関都,1035
1122509,川桁,1036
1122510,猪苗代,1037
1122511,翁島,1038
1122512,磐梯町,1039
1122513,東長原,1040
1122514,広田,1041
1122515,会津若松,1042
1122602,堂島,1043
1122603,笈川,1044
1122604,塩川,1045
1122605,姥堂,1046
1122606,会津豊川,1047
1122607,喜多方,1048
1122608,山都,1049
1122609,荻野,1050
1122610,尾登,1051
1122611,野沢,1052
1122612,上野尻,1053
1122613,徳沢,1054
1122614,豊実,1055
1122615,日出谷,1056
1122616,鹿瀬,1057
1122617,津川,1058
1122618,三川(新潟),1059
1122619,五十島,1060
1122620,東下条,1061
1122621,咲花,1062
1122622,馬下,1063
1122623,猿和田,1064
1122624,五泉,1065
1122625,北五泉,1066
1122626,新関,1067
1122627,東新津,1068
1122702,七日町,1069
1122703,西若松,1070
1122704,会津本郷,1071
1122705,会津高田,1072
1122706,根岸(福島),1073
1122707,新鶴,1074
1122708,若宮,1075
1122709,会津坂下,1076
1122710,塔寺,1077
1122711,会津坂本,1078
1122712,会津柳津,1079
1122713,郷戸,1080
1122714,滝谷(福島),1081
1122715,会津桧原,1082
1122716,会津西方,1083
1122717,会津宮下,1084
1122718,早戸,1085
1122719,会津水沼,1086
1122720,会津中川,1087
1122721,会津川口,1088
1122722,本名,1089
1122723,会津越川,1090
1122724,会津横田,1091
1122725,会津大塩,1092
1122726,会津塩沢,1093
1122727,会津蒲生,1094
1122728,只見,1095
1122729,田子倉,1096
1122730,大白川,1097
1122731,柿ノ木,1098
1122732,入広瀬,1099
1122733,上条(新潟),1100
1122734,越後須原,1101
1122735,魚沼田中,1102
1122736,越後広瀬,1103
1122737,藪神,1104
1122738,小出,1105
1122801,いわき,1106
1122802,赤井,1107
1122803,小川郷,1108
1122804,江田(福島),1109
1122805,川前,1110
1122806,夏井,1111
1122807,小野新町,1112
1122808,神俣,1113
1122809,菅谷,1114
1122810,大越,1115
1122811,磐城常葉,1116
1122812,船引,1117
1122813,要田,1118
1122814,三春,1119
1122815,舞木,1120
1123101,黒磯,1187
1123102,高久,1188
1123103,黒田原,1189
1123104,豊原,1190
1123105,白坂,1191
100407,新白河,1192
1123107,白河,1193
1123108,久田野,1194
1123109,泉崎,1195
1123110,矢吹,1196
1123111,鏡石,1197
1123112,須賀川,1198
1123113,安積永盛,1199
1123115,日和田,1200
1123116,五百川,1201
1123117,本宮(福島),1202
1123118,杉田(福島),1203
1123119,二本松,1204
1123120,安達,1205
1123121,松川,1206
1123122,金谷川,1207
1123123,南福島,1208
1123125,東福島,1209
1123126,伊達,1210
1123127,桑折,1211
1123128,藤田,1212
1123129,貝田,1213
1123130,越河,1214
1123131,白石(宮城),1215
1123132,東白石,1216
1123133,北白川,1217
1123134,大河原(宮城),1218
1123135,船岡(宮城),1219
1123136,槻木,1220
1123137,岩沼,1181
1123138,館腰,1182
1123139,名取,1183
1123140,南仙台,1184
1123141,太子堂,1186
1123142,長町,1185
1123144,東仙台,1221
1123145,岩切,1222
1123146,新利府,1223
1123147,利府,1224
1123148,陸前山王,1225
1123149,国府多賀城,1226
1123150,塩釜,1227
1123151,松島,1228
1123152,愛宕(宮城),1229
1123153,品井沼,1230
1123154,鹿島台,1231
1123155,松山町,1232
