code,id,name,name_kana,name_formal,station_size,company_code,color,symbol,closed,closed_date,impl
27002,cd1b4a,京急空港線,けいきゅうくうこうせん,NULL,7,17,#00BFFF,KK,0,NULL,1
27003,c7fc45,京急大師線,けいきゅうたいしせん,NULL,7,17,#00BFFF,KK,0,NULL,1
27004,e3f69f,京急逗子線,けいきゅうずしせん,NULL,4,17,#00BFFF,KK,0,NULL,1
27005,1965a8,京急久里浜線,けいきゅうくりはません,NULL,9,17,#00BFFF,KK,0,NULL,1
28001,e5308b,東京メトロ銀座線,とうきょうめとろぎんざせん,NULL,19,18,#F39700,G,0,NULL,1
28002,663030,東京メトロ丸ノ内線,とうきょうめとろまるのうちせん,NULL,28,18,#E60012,NULL,0,NULL,1
28003,14d1ab,東京メトロ日比谷線,とうきょうめとろひびやせん,NULL,22,18,#9CAEB7,H,0,NULL,1
28004,63424b,東京メトロ東西線,とうきょうめとろとうざいせん,NULL,23,18,#00A7DB,T,0,NULL,1
28005,f98afc,東京メトロ千代田線,とうきょうめとろちよだせん,NULL,20,18,#009944,C,0,NULL,1
28006,1e4559,東京メトロ有楽町線,とうきょうめとろゆうらくちょうせん,NULL,24,18,#D7C447,Y,0,NULL,1
28008,0fde40,東京メトロ半蔵門線,とうきょうめとろはんぞうもんせん,NULL,14,18,#800080,Z,0,NULL,1
28009,3ab722,東京メトロ南北線,とうきょうめとろなんぼくせん,NULL,19,18,#00A968,N,0,NULL,1
28010,e98d36,東京メトロ副都心線,とうきょうめとろふくとしんせん,NULL,16,18,#BB641D,F,0,NULL,1
29001,7410d9,相鉄本線,そうてつほんせん,NULL,18,19,#2288CC,SO,0,NULL,1
29002,a3ba62,相鉄いずみ野線,そうてついずみのせん,NULL,8,19,#2288CC,SO,0,NULL,1
29003,d931ec,相鉄新横浜線,そうてつしんよこはません,NULL,2,19,#2288CC,SO,0,NULL,1
30001,18140a,名鉄名古屋本線,めいてつなごやほんせん,NULL,60,20,#DC143C,NH,0,NULL,1
30002,23e75e,名鉄豊川線,めいてつとよかわせん,NULL,5,20,#DC143C,TK,0,NULL,1
30003,2ed17c,名鉄西尾線,めいてつにしおせん,NULL,14,20,#483D8B,GN,0,NULL,1
30004,6cbdf9,名鉄蒲郡線,めいてつがまごおりせん,NULL,10,20,#483D8B,GN,0,NULL,1
30005,5b2d27,名鉄三河線,めいてつみかわせん,NULL,38,20,NULL,NULL,0,NULL,1
30006,a3172a,名鉄豊田線,めいてつとよたせん,NULL,9,20,#9ACD32,TT,0,NULL,1
30007,26f31b,名鉄空港線,めいてつくうこうせん,NULL,3,20,#0000CD,TA,0,NULL,1
30008,123a1f,名鉄常滑線,めいてつとこなめせん,NULL,26,20,#0000CD,TA,0,NULL,1
30009,7d13fd,名鉄河和線,めいてつこうわせん,NULL,19,20,#00BFFF,KC,0,NULL,1
30010,79caf5,名鉄知多新線,めいてつちたしんせん,NULL,6,20,#00BFFF,KC,0,NULL,1
30011,2b1859,名鉄築港線,めいてつちっこうせん,NULL,2,20,#808080,CH,0,NULL,1
30012,0ef6c7,名鉄瀬戸線,めいてつせとせん,NULL,24,20,#800080,ST,0,NULL,1
30013,2b78cf,名鉄津島線,めいてつつしません,NULL,8,20,#FF6347,TB,0,NULL,1
30014,706221,名鉄尾西線,めいてつびさいせん,NULL,22,20,#FF6347,NULL,0,NULL,1
30015,1df6e8,名鉄犬山線,めいてついぬやません,NULL,20,20,#2E8B57,IY,0,NULL,1
