code,id,name,original_name,name_kana,lat,lng,prefecture,postal_code,address,closed,open_date,closed_date,impl,attr
1110115,a3b416,流山温泉,流山温泉,ながれやまおんせん,42.003483,140.716358,1,041-1351,亀田郡七飯町字東大沼２３６,0,NULL,NULL,1,cool
1110116,44013a,銚子口,銚子口,ちょうしぐち,42.015471,140.720656,1,041-1351,亀田郡七飯町字東大沼,0,NULL,NULL,1,cool
1110117,c3e36f,鹿部,鹿部,しかべ,42.06439,140.771393,1,041-1404,茅部郡鹿部町字本別,0,NULL,NULL,1,cool
1110118,9cb1e4,渡島沼尻,渡島沼尻,おしまぬまじり,42.10706,140.747596,1,049-2223,茅部郡森町砂原東４丁目,0,NULL,NULL,1,cool
1110119,250722,渡島砂原,渡島砂原,おしまさはら,42.12164,140.689451,1,049-2222,茅部郡森町砂原４丁目,0,NULL,NULL,1,cool
1110120,c7d1b0,掛澗,掛澗,かかりま,42.119205,140.64598,1,049-2221,茅部郡森町砂原西３丁目,0,NULL,NULL,1,eco
1110121,c96830,尾白内,尾白内,おしろない,42.111232,140.613449,1,049-2301,茅部郡森町字尾白内町,0,NULL,NULL,1,eco
1110122,705d7d,東森,東森,ひがしもり,42.106823,140.59353,1,049-2302,茅部郡森町字港町,0,NULL,NULL,1,eco
1110123,3b6a82,森(北海道),森,もり,42.108917,140.573846,1,049-2325,茅部郡森町字本町,0,NULL,NULL,1,eco
1110124,8e86e6,桂川(北海道),桂川,かつらがわ,42.1156004,140.5427876,1,049-2321,茅部郡森町字鷲ノ木町,1,1944-09-30,2017-03-04,1,unknown
1110125,de62e7,石谷,石谷,いしや,42.135519,140.506525,1,049-2464,茅部郡森町字本茅部町,0,NULL,NULL,1,eco
1110126,200bac,本石倉,本石倉,ほんいしくら,42.159668,140.471957,1,049-2463,茅部郡森町字石倉町,0,NULL,NULL,1,eco
1110127,3a1576,石倉,石倉,いしくら,42.17285,140.458436,1,049-2463,茅部郡森町字石倉町,0,NULL,NULL,1,eco
1110128,c198fd,落部,落部,おとしべ,42.187617,140.420755,1,049-2562,二海郡八雲町落部,0,NULL,NULL,1,eco
1110129,5a3001,野田生,野田生,のだおい,42.217104,140.37586,1,049-2672,二海郡八雲町野田生,0,NULL,NULL,1,eco
1110130,27a9f0,山越,山越,やまこし,42.231172,140.326593,1,049-2671,二海郡八雲町山越,0,NULL,NULL,1,eco
1110131,ec2998,八雲,八雲,やくも,42.253391,140.273342,1,049-3107,二海郡八雲町本町,0,NULL,NULL,1,eco
1110132,5e7ea0,鷲ノ巣,鷲ノ巣,わしのす,42.278389,140.269919,1,049-3122,二海郡八雲町花浦,1,1987-04-01,2016-03-26,1,unknown
1110133,6e0de2,山崎(北海道),山崎,やまさき,42.314635,140.2746,1,049-3342,二海郡八雲町山崎,0,NULL,NULL,1,eco
1110134,1478f7,黒岩,黒岩,くろいわ,42.368296,140.288173,1,049-3341,二海郡八雲町黒岩,0,NULL,NULL,1,eco
1110135,499770,北豊津,北豊津,きたとよつ,42.400969,140.297868,1,049-3464,山越郡長万部町字豊津,1,1944-07-01,2017-03-04,1,unknown
1110136,ae2ac1,国縫,国縫,くんぬい,42.439319,140.320885,1,049-3462,山越郡長万部町字国縫,0,NULL,NULL,1,eco
1110137,d88a29,中ノ沢,中ノ沢,なかのさわ,42.477928,140.346077,1,049-3512,山越郡長万部町字中の沢,0,NULL,NULL,1,eco
1110138,b99741,長万部,長万部,おしゃまんべ,42.512477,140.37507,1,049-3521,山越郡長万部町字長万部,0,1903-11-03,NULL,1,eco
1110202,0b37b6,二股,二股,ふたまた,42.575869,140.320821,1,049-3501,山越郡長万部町字双葉,0,NULL,NULL,1,eco
1110203,8fa7af,蕨岱,蕨岱,わらびたい,42.626353,140.313353,1,049-3503,山越郡長万部町字蕨岱,1,1904-10-15,2017-03-04,1,unknown
1110204,887391,黒松内,黒松内,くろまつない,42.669608,140.305704,1,048-0101,寿都郡黒松内町字黒松内,0,NULL,NULL,1,eco
1110205,42a126,熱郛,熱郛,ねっぷ,42.675653,140.375084,1,048-0134,寿都郡黒松内町字白井川,0,NULL,NULL,1,eco
1110206,e7eb78,目名,目名,めな,42.761432,140.465742,1,048-1261,磯谷郡蘭越町目名町,0,NULL,NULL,1,eco
1110207,fca41a,蘭越,蘭越,らんこし,42.804542,140.52894,1,048-1301,磯谷郡蘭越町蘭越町,0,NULL,NULL,1,heat
1110208,1a622d,昆布,昆布,こんぶ,42.797984,140.596107,1,048-1302,磯谷郡蘭越町昆布町,0,NULL,NULL,1,heat
1110209,4f1c32,ニセコ,ニセコ,にせこ,42.808746,140.684588,1,048-1512,虻田郡ニセコ町字中央通,0,NULL,NULL,1,heat
1110210,3dd729,比羅夫,比羅夫,ひらふ,42.84856,140.722615,1,044-0077,虻田郡倶知安町比羅夫,0,NULL,NULL,1,heat
1110211,b3c49c,倶知安,倶知安,くっちゃん,42.90164,140.745471,1,044-0051,虻田郡倶知安町北三条西４丁目,0,NULL,NULL,1,heat
1110212,f6aa1e,小沢,小沢,こざわ,42.97185,140.677657,1,048-2142,岩内郡共和町小沢,0,NULL,NULL,1,heat
1110213,0e7570,銀山,銀山,ぎんざん,43.040888,140.715321,1,048-2335,余市郡仁木町銀山２丁目,0,NULL,NULL,1,cool
1110214,042391,然別,然別,しかりべつ,43.12551,140.737211,1,048-2403,余市郡仁木町然別,0,NULL,NULL,1,cool
1110215,7e1209,仁木,仁木,にき,43.154091,140.770546,1,048-2405,余市郡仁木町字北町１丁目,0,NULL,NULL,1,cool
1110216,2d8fb2,余市,余市,よいち,43.186558,140.794686,1,046-0003,余市郡余市町黒川町５丁目,0,NULL,NULL,1,cool
1110217,b0cc39,蘭島,蘭島,らんしま,43.19651,140.854643,1,048-2562,小樽市蘭島１丁目,0,NULL,NULL,1,cool
1110218,325bd8,塩谷,塩谷,しおや,43.202406,140.924546,1,048-2672,小樽市塩谷２丁目,0,NULL,NULL,1,cool
1110219,078e9b,小樽,小樽,おたる,43.197172,140.993653,1,047-0032,小樽市稲穂２丁目,0,NULL,NULL,1,cool
1110302,d2ca10,南小樽,南小樽,みなみおたる,43.186529,141.007883,1,047-0015,小樽市住吉町,0,NULL,NULL,1,cool
1110303,61908a,小樽築港,小樽築港,おたるちっこう,43.180752,141.029051,1,047-0008,小樽市築港,0,NULL,NULL,1,cool
1110304,5cc8d7,朝里,朝里,あさり,43.176868,141.063923,1,047-0151,小樽市朝里１丁目,0,NULL,NULL,1,cool
1110305,1242f0,銭函,銭函,ぜにばこ,43.143403,141.159868,1,047-0261,小樽市銭函２丁目,0,NULL,NULL,1,cool
1110306,f3c5c3,ほしみ,ほしみ,ほしみ,43.13373,141.191402,1,006-0859,札幌市手稲区手稲星置１条９丁目,0,NULL,NULL,1,cool
1110307,e29082,星置,星置,ほしおき,43.132375,141.210856,1,006-0851,札幌市手稲区星置１条３丁目,0,NULL,NULL,1,cool
1110308,9ef90a,稲穂,稲穂,いなほ,43.128115,141.222919,1,006-0831,札幌市手稲区曙１条３丁目,0,NULL,NULL,1,cool
1110309,1035b2,手稲,手稲,ていね,43.120238,141.243785,1,006-0021,札幌市手稲区手稲本町１条４丁目,0,NULL,NULL,1,eco
1110310,68063b,稲積公園,稲積公園,いなづみこうえん,43.112023,141.257113,1,006-0011,札幌市手稲区富丘１条４丁目,0,NULL,NULL,1,eco
1110311,267989,発寒,発寒,はっさむ,43.099819,141.277273,1,063-0829,札幌市西区発寒９条１３丁目,0,NULL,NULL,1,eco
1110312,f6eb05,発寒中央,発寒中央,はっさむちゅうおう,43.089271,141.294497,1,063-0826,札幌市西区発寒十条３丁目,0,NULL,NULL,1,eco
1110313,82a246,琴似(JR),琴似,ことに,43.081599,141.307418,1,063-0812,札幌市西区琴似2条2丁目,0,NULL,NULL,1,eco
1110314,f18414,桑園,桑園,そうえん,43.070744,141.332036,1,060-0011,札幌市中央区北１１条西１５丁目,0,NULL,NULL,1,eco
1110315,7a3b57,札幌,札幌,さっぽろ,43.068612,141.350768,1,060-0806,札幌市北区北６条西４丁目,0,NULL,NULL,1,eco
9910206,d51f40,さっぽろ,さっぽろ,さっぽろ,43.06637,141.350299,1,060-0004,札幌市中央区北４条西４,0,NULL,NULL,1,heat
1110316,280d07,苗穂,苗穂,なえぼ,43.068262,141.373477,1,060-0033,札幌市中央区北３条東１３丁目,0,NULL,NULL,1,eco
1110317,e3ad39,白石(JR),白石,しろいし,43.054715,141.413612,1,003-0029,札幌市白石区平和通3丁目北6,0,1903-04-21,NULL,1,eco
1110318,11bbb0,厚別,厚別,あつべつ,43.045154,141.46369,1,004-0055,札幌市厚別区厚別中央５条４丁目,0,NULL,NULL,1,eco
1110319,a2c9cc,森林公園(北海道),森林公園,しんりんこうえん,43.056456,141.481332,1,004-0071,札幌市厚別区厚別北１条４丁目,0,NULL,NULL,1,eco
1110320,c252d3,大麻,大麻,おおあさ,43.072382,141.496925,1,069-0854,江別市大麻中町,0,NULL,NULL,1,eco
1110321,c3e3ba,野幌,野幌,のっぽろ,43.092559,141.52984,1,069-0813,江別市野幌町,0,NULL,NULL,1,eco
1110322,7639c9,高砂(北海道),高砂,たかさご,43.100084,141.540752,1,067-0074,江別市高砂町,0,NULL,NULL,1,eco
1110323,29e12b,江別,江別,えべつ,43.110189,141.55679,1,067-0071,江別市萩ケ岡,0,NULL,NULL,1,eco
1110324,a1b538,豊幌,豊幌,とよほろ,43.136446,141.62466,1,067-0021,江別市豊幌,0,NULL,NULL,1,eco
1110325,5194bd,幌向,幌向,ほろむい,43.151348,141.655839,1,069-0371,岩見沢市幌向南１条３丁目,0,NULL,NULL,1,eco
1110326,9c1411,上幌向,上幌向,かみほろむい,43.18183,141.715391,1,069-0362,岩見沢市上幌向南１条４丁目,0,NULL,NULL,1,eco
1110327,b5182e,岩見沢,岩見沢,いわみざわ,43.204201,141.759359,1,068-0034,岩見沢市有明町南,0,NULL,NULL,1,eco
1110328,8027ba,峰延,峰延,みねのぶ,43.264694,141.814673,1,072-0000,美唄市峰延,0,NULL,NULL,1,eco
1110329,a0b8dc,光珠内,光珠内,こうしゅない,43.292658,141.844655,1,072-0000,美唄市光珠内,0,NULL,NULL,1,eco
1110330,0ae16e,南美唄,南美唄,みなみびばい,43.313683,141.873786,1,072-0823,北海道美唄市南美唄町下４条７７−５,1,1931-12-01,1973-09-09,0,NULL
1110331,22c94d,美唄,美唄,びばい,43.330751,141.862157,1,072-0012,美唄市東一条南２丁目,0,NULL,NULL,1,eco
1110332,245613,茶志内,茶志内,ちゃしない,43.369842,141.87336,1,079-0261,美唄市茶志内町,0,NULL,NULL,1,eco
1110333,4a6a5a,奈井江,奈井江,ないえ,43.423718,141.889115,1,079-0313,空知郡奈井江町本町１区,0,NULL,NULL,1,eco
1110334,a40d71,豊沼,豊沼,とよぬま,43.464224,141.901032,1,073-0138,砂川市豊沼町,0,NULL,NULL,1,eco
1110335,cbc4f3,砂川,砂川,すながわ,43.493468,141.909642,1,073-0152,砂川市東２条北２丁目,0,NULL,NULL,1,eco
1110336,d91d96,下鶉,下鶉,しもうずら,43.482444,141.952,1,073-0222,北海道空知郡上砂川町下鶉南１条１丁目３-９,1,1959-12-18,1994-05-16,0,NULL
1110337,84b12f,鶉,鶉,うずら,43.4825,141.962389,1,073-0221,北海道空知郡上砂川町鶉本町北２丁目２-３,1,1948-12-01,1994-05-16,0,NULL
1110338,c93f8a,東鶉,東鶉,ひがしうずら,43.483194,141.9775,1,073-0211,北海道空知郡上砂川町東鶉北１条３丁目１,1,1959-12-18,1994-05-16,0,NULL
1110339,ea7baf,上砂川,上砂川,かみすながわ,43.479889,141.99025,1,073-0201,北海道空知郡上砂川町中央北１条１丁目１-１,1,1926-08-01,1994-05-16,0,NULL
1110340,514b6b,滝川,滝川,たきかわ,43.555278,141.900807,1,073-0031,滝川市栄町４丁目,0,NULL,NULL,1,eco
1110341,ec27fb,江部乙,江部乙,えべおつ,43.627564,141.935937,1,079-0462,滝川市江部乙町西町１２丁目,0,NULL,NULL,1,heat
1110342,a30b2a,妹背牛,妹背牛,もせうし,43.690841,141.966591,1,079-0500,雨竜郡妹背牛町字妹背牛,0,NULL,NULL,1,heat
1110343,57162b,深川,深川,ふかがわ,43.721021,142.041642,1,074-0001,深川市１条,0,NULL,NULL,1,heat
1110344,8a48bf,納内,納内,おさむない,43.732509,142.130072,1,078-0151,深川市納内町字納内,0,NULL,NULL,1,heat
1110345,78e3a3,神居古潭,神居古潭,かむいこたん,43.732834,142.202224,1,078-0185,北海道旭川市神居町神居古潭,1,NULL,NULL,1,unknown
1110346,207f69,伊納,伊納,いのう,43.763305,142.27167,1,070-8052,旭川市江丹別町春日,0,NULL,NULL,1,heat
1110347,7b3ef7,近文,近文,ちかぶみ,43.789193,142.325327,1,070-0821,旭川市近文町１９丁目,0,NULL,NULL,1,heat
1110348,e3f638,旭川,旭川,あさひかわ,43.763492,142.357803,1,070-0030,旭川市宮下通８丁目,0,NULL,NULL,1,heat
1110402,78e04a,静狩,静狩,しずかり,42.584065,140.460025,1,049-5141,山越郡長万部町字静狩,0,NULL,NULL,1,eco
1110403,c48d1f,小幌,小幌,こぼろ,42.589731,140.537361,1,049-5333,虻田郡豊浦町字礼文華,0,NULL,NULL,1,eco
1110404,f3b4e4,礼文,礼文,れぶん,42.580422,140.595013,1,049-5333,虻田郡豊浦町字礼文華,0,NULL,NULL,1,eco
1110405,01fab0,大岸,大岸,おおきし,42.585969,140.639036,1,049-5332,虻田郡豊浦町字大岸,0,NULL,NULL,1,eco
1110406,423ecb,豊浦,豊浦,とようら,42.580323,140.71536,1,049-5412,虻田郡豊浦町字旭町,0,NULL,NULL,1,eco
1110407,873f83,洞爺,洞爺,とうや,42.55055,140.763959,1,049-5611,虻田郡洞爺湖町旭町,0,NULL,NULL,1,eco
1110408,371781,有珠,有珠,うす,42.513267,140.793969,1,059-0151,伊達市有珠町,0,NULL,NULL,1,eco
1110409,08953e,長和,長和,ながわ,42.488262,140.833783,1,052-0035,伊達市長和町,0,NULL,NULL,1,eco
1110410,2fed5c,伊達紋別,伊達紋別,だてもんべつ,42.469395,140.855802,1,052-0032,伊達市山下町,0,NULL,NULL,1,eco
1110411,2eab44,北舟岡,北舟岡,きたふなおか,42.450528,140.880259,1,052-0014,伊達市舟岡町,0,NULL,NULL,1,eco
1110412,fc13c9,稀府,稀府,まれっぷ,42.425567,140.898836,1,059-0273,伊達市南稀府町,0,NULL,NULL,1,eco
1110413,cda027,黄金(北海道),黄金,こがね,42.386441,140.907781,1,059-0271,伊達市南黄金町,0,NULL,NULL,1,eco
1110414,5b62da,崎守,崎守,さきもり,42.373968,140.927141,1,050-0055,室蘭市崎守町,0,NULL,NULL,1,eco
1110415,20b241,本輪西,本輪西,もとわにし,42.358734,140.977561,1,050-0065,室蘭市本輪西町１丁目,0,NULL,NULL,1,eco
1110416,c1a600,室蘭,室蘭,むろらん,42.317864,140.97571,1,051-0023,室蘭市入江町１,0,NULL,NULL,1,cool
1110417,10dbbd,母恋,母恋,ぼこい,42.317295,140.990018,1,051-0004,室蘭市母恋北町１丁目,0,NULL,NULL,1,cool
1110418,15ab8b,御崎,御崎,みさき,42.329014,140.993881,1,051-0001,室蘭市御崎町２丁目,0,NULL,NULL,1,cool
1110419,5185ab,輪西,輪西,わにし,42.333775,141.005743,1,050-0087,室蘭市仲町,0,NULL,NULL,1,cool
1110420,4a7a46,東室蘭,東室蘭,ひがしむろらん,42.349374,141.026411,1,050-0083,室蘭市東町２丁目,0,NULL,NULL,1,cool
1110421,a75a5f,鷲別,鷲別,わしべつ,42.35953,141.042759,1,059-0034,登別市鷲別町２丁目,0,NULL,NULL,1,cool
1110422,be5dfb,幌別,幌別,ほろべつ,42.409782,141.107293,1,059-0013,登別市幌別町３丁目,0,NULL,NULL,1,cool
1110423,b29507,富浦(北海道),富浦,とみうら,42.441957,141.156878,1,059-0462,登別市富浦町１丁目,0,NULL,NULL,1,cool
1110424,518f33,登別,登別,のぼりべつ,42.45207,141.180931,1,059-0466,登別市登別港町１丁目,0,NULL,NULL,1,cool
1110425,6ccddf,虎杖浜,虎杖浜,こじょうはま,42.464695,141.215092,1,059-0641,白老郡白老町字虎杖浜,0,NULL,NULL,1,heat
1110426,ed0a83,竹浦,竹浦,たけうら,42.49284,141.260395,1,059-0642,白老郡白老町字竹浦,0,NULL,NULL,1,heat
1110427,4d5eeb,北吉原,北吉原,きたよしはら,42.509119,141.286199,1,059-0923,白老郡白老町字北吉原,0,NULL,NULL,1,heat
1110428,504b3c,萩野,萩野,はぎの,42.521159,141.30603,1,059-0922,白老郡白老町字萩野,0,NULL,NULL,1,heat
1110429,123518,白老,白老,しらおい,42.55474,141.360054,1,059-0904,白老郡白老町東町１丁目,0,NULL,NULL,1,heat
1110430,829ff5,社台,社台,しゃだい,42.578682,141.417433,1,059-0901,白老郡白老町字社台,0,NULL,NULL,1,heat
1110431,d97acf,錦岡,錦岡,にしきおか,42.6025,141.48722,1,059-1275,苫小牧市字錦岡,0,NULL,NULL,1,heat
1110432,ac8e06,糸井,糸井,いとい,42.6225,141.546187,1,053-0816,苫小牧市日吉町３丁目,0,NULL,NULL,1,heat
1110433,0485ee,青葉,青葉,あおば,42.62999,141.568278,1,053-0807,苫小牧市青葉町１丁目,0,NULL,NULL,1,heat
1110434,214559,苫小牧,苫小牧,とまこまい,42.639665,141.596837,1,053-0022,苫小牧市表町６丁目,0,NULL,NULL,1,eco
1110502,c65c99,沼ノ端,沼ノ端,ぬまのはた,42.672057,141.693132,1,059-1364,苫小牧市字沼ノ端,0,NULL,NULL,1,eco
1110503,50b356,遠浅,遠浅,とあさ,42.729533,141.769568,1,059-1433,勇払郡安平町遠浅,0,NULL,NULL,1,heat
1110504,5413b1,早来,早来,はやきた,42.765237,141.814106,1,059-1501,勇払郡安平町早来大町,0,NULL,NULL,1,heat
1110505,bb1c03,安平,安平,あびら,42.814007,141.825283,1,059-1511,勇払郡安平町安平,0,NULL,NULL,1,cool
1110506,1b2ea5,追分(北海道),追分,おいわけ,42.873316,141.810678,1,059-1931,勇払郡安平町追分中央,0,NULL,NULL,1,cool
1110507,d4f11f,三川(北海道),三川,みかわ,42.945029,141.800778,1,069-1200,夕張郡由仁町三川,0,NULL,NULL,1,cool
1110508,c5cb7a,古山,古山,ふるさん,42.975256,141.793969,1,069-1216,夕張郡由仁町字古山,0,NULL,NULL,1,eco
1110509,f483c5,由仁,由仁,ゆに,43.012206,141.785868,1,069-1216,夕張郡由仁町古山,0,NULL,NULL,1,eco
1110510,f048cb,栗山,栗山,くりやま,43.058164,141.775603,1,069-1511,夕張郡栗山町中央３丁目,0,NULL,NULL,1,eco
1110511,d0f285,栗丘,栗丘,くりおか,43.085444,141.744333,1,068-0134,岩見沢市栗沢町栗丘,0,NULL,NULL,1,eco
1110512,31ef24,栗沢,栗沢,くりさわ,43.120367,141.739743,1,068-0127,岩見沢市栗沢町本町,0,NULL,NULL,1,eco
1110513,4b68e1,志文,志文,しぶん,43.158903,141.744443,1,068-0841,岩見沢市志文本町１条４丁目,0,NULL,NULL,1,eco
1110602,ea2122,東滝川,東滝川,ひがしたきかわ,43.574037,141.98031,1,073-0026,滝川市東滝川,0,NULL,NULL,1,eco
1110603,32b018,赤平,赤平,あかびら,43.555144,142.048669,1,079-1134,赤平市泉町１丁目,0,NULL,NULL,1,eco
1110604,ed4c57,茂尻,茂尻,もしり,43.537314,142.082156,1,079-1100,赤平市字茂尻町南２丁目,0,NULL,NULL,1,eco
1110605,fe65b1,平岸(JR),平岸,ひらぎし,43.541401,142.123872,1,079-1282,北海道赤平市平岸仲町１丁目,0,NULL,NULL,1,eco
1110606,d3b6bc,芦別,芦別,あしべつ,43.516636,142.184543,1,075-0041,芦別市本町,0,NULL,NULL,1,eco
1110607,44d8a5,上芦別,上芦別,かみあしべつ,43.48871,142.210855,1,079-1371,芦別市上芦別町,0,NULL,NULL,1,eco
1110608,1d505e,野花南,野花南,のかなん,43.474418,142.261772,1,079-1372,芦別市野花南町,0,NULL,NULL,1,eco
1110609,5043bb,島ノ下,島ノ下,しまのした,43.3744,142.350406,1,076-0036,富良野市字島ノ下,1,1913-11-10,2017-03-04,1,unknown
1110610,e48d7a,富良野,富良野,ふらの,43.347114,142.391374,1,076-0025,富良野市日の出町,0,NULL,NULL,1,cool
1110611,9d8f8b,布部,布部,ぬのべ,43.291991,142.400595,1,076-0004,富良野市字布部市街地,0,NULL,NULL,1,heat
1110612,63c04f,山部,山部,やまべ,43.244645,142.381522,1,079-1564,北海道富良野市字山部市山部中町,0,NULL,NULL,1,heat
1110613,3986f8,下金山,下金山,しもかなやま,43.197328,142.415402,1,079-2132,空知郡南富良野町字下金山,0,NULL,NULL,1,heat
1110614,9fdab2,金山(北海道),金山,かなやま,43.136115,142.416201,1,079-2131,空知郡南富良野町字金山,0,NULL,NULL,1,cool
1110615,a53353,東鹿越,東鹿越,ひがししかごえ,43.164011,142.523472,1,079-2411,空知郡南富良野町東鹿越,0,NULL,NULL,1,cool
1110616,4aa1ca,幾寅,幾寅,いくとら,43.161582,142.569474,1,079-2401,空知郡南富良野町幾寅仲町,0,NULL,NULL,1,cool
1110617,abe9f2,落合(北海道),落合,おちあい,43.125055,142.669104,1,079-2551,空知郡南富良野町落合,0,NULL,NULL,1,cool
1110618,3ff7e5,新得,新得,しんとく,43.082501,142.832432,1,081-0005,上川郡新得町本通北１丁目,0,NULL,NULL,1,cool
1110702,aa1c3b,十勝清水,十勝清水,とかちしみず,43.012892,142.879535,1,089-0136,上川郡清水町本通１丁目,0,NULL,NULL,1,cool
1110703,5d19f6,羽帯,羽帯,はおび,42.957499,142.906646,1,089-0356,上川郡清水町字羽帯,1,1958-09-10,2018-03-17,1,unknown
1110704,c7b35f,御影(北海道),御影,みかげ,42.942418,142.935739,1,089-0354,上川郡清水町御影本通り１丁目,0,NULL,NULL,1,cool
1110705,7cde30,芽室,芽室,めむろ,42.909846,143.047991,1,082-0030,河西郡芽室町本通り１丁目,0,NULL,NULL,1,cool
1110706,91e559,大成,大成,たいせい,42.91605619,143.0696659,1,082-0006,河西郡芽室町東芽室南２線,0,NULL,NULL,1,cool
1110707,76c6bd,西帯広,西帯広,にしおびひろ,42.923941,143.126351,1,080-2473,帯広市西２３条南１丁目,0,NULL,NULL,1,cool
1110708,ad9c96,柏林台,柏林台,はくりんだい,42.928877,143.1645,1,080-0027,帯広市西１７条南１丁目,0,NULL,NULL,1,cool
1110709,ca7327,帯広,帯広,おびひろ,42.917997,143.20195,1,080-0012,帯広市西２条南１２丁目,0,NULL,NULL,1,cool
1110710,4acdac,札内,札内,さつない,42.912697,143.256248,1,089-0543,中川郡幕別町字札内中央町,0,NULL,NULL,1,eco
1110711,5fba7c,稲士別,稲士別,いなしべつ,42.903963,143.297528,1,089-0564,中川郡幕別町稲志別,1,1959-10-07,2017-03-04,1,unknown
1110712,0f8a82,幕別,幕別,まくべつ,42.90784,143.359293,1,089-0604,中川郡幕別町錦町,0,NULL,NULL,1,eco
1110713,18a9d5,利別,利別,としべつ,42.934706,143.424445,1,083-0031,中川郡池田町字利別西町,0,NULL,NULL,1,eco
1110714,c2dabf,池田(北海道),池田,いけだ,42.922186,143.453033,1,083-0091,中川郡池田町東１条１丁目,0,NULL,NULL,1,eco
1110715,91b742,十弗,十弗,とおふつ,42.855781,143.500797,1,089-5243,中川郡豊頃町字十弗宝町,0,NULL,NULL,1,eco
1110716,d6ef81,豊頃,豊頃,とよころ,42.817548,143.538615,1,089-5232,中川郡豊頃町豊頃旭町,0,NULL,NULL,1,eco
1110717,34b350,新吉野,新吉野,しんよしの,42.778238,143.60826,1,089-5541,十勝郡浦幌町字吉野,0,NULL,NULL,1,eco
1110718,34ae09,浦幌,浦幌,うらほろ,42.810849,143.651568,1,089-5603,十勝郡浦幌町字本町,0,NULL,NULL,1,eco
1110719,ce1c2d,上厚内,上厚内,かみあつない,42.831881,143.749788,1,089-5866,十勝郡浦幌町字上厚内,1,1910-12-01,2017-03-04,1,unknown
1110720,5623a6,厚内,厚内,あつない,42.809539,143.814389,1,089-5865,十勝郡浦幌町字厚内,0,NULL,NULL,1,eco
1110721,1456e1,直別,直別,ちょくべつ,42.852205,143.863607,1,088-0135,釧路市音別町直別,1,1907-10-25,2019-03-16,1,unknown
1110722,e7046e,尺別,尺別,しゃくべつ,42.869163,143.904331,1,088-0132,釧路市音別町尺別（岐線）,1,1920-01-22,2019-03-16,1,unknown
1110723,49b568,音別,音別,おんべつ,42.888997,143.932442,1,088-0115,釧路市音別町本町１丁目,0,NULL,NULL,1,eco
1110724,2de3d2,古瀬,古瀬,ふるせ,42.947893,144.008589,1,088-0351,白糠郡白糠町和天別,1,1954-07-01,2020-03-14,1,unknown
1110725,0fc1f4,白糠,白糠,しらぬか,42.956161,144.076879,1,088-0301,白糠郡白糠町東１条南１丁目,0,NULL,NULL,1,heat
1110726,d0da0b,西庶路,西庶路,にししょろ,42.976138,144.129826,1,088-0572,白糠郡白糠町西庶路西１条南３丁目,0,NULL,NULL,1,heat
1110727,bcbcf2,庶路,庶路,しょろ,42.983601,144.150018,1,088-0563,白糠郡白糠町庶路甲区,0,NULL,NULL,1,heat
1110728,626d48,大楽毛,大楽毛,おたのしけ,43.009078,144.273879,1,084-0917,釧路市大楽毛５丁目,0,NULL,NULL,1,heat
