station_code,line_code,index,numbering
1110204,11102,4,S30
1110205,11102,5,S29
1110206,11102,6,S28
1110207,11102,7,S27
1110208,11102,8,S26
1110209,11102,9,S25
1110210,11102,10,S24
1110211,11102,11,S23
1110212,11102,12,S22
1110213,11102,13,S21
1110214,11102,14,S20
1110215,11102,15,S19
1110216,11102,16,S18
1110217,11102,17,S17
1110218,11102,18,S16
1110219,11102,19,S15
1110219,11103,1,S15
1110302,11103,2,S14
1110303,11103,3,S13
1110304,11103,4,S12
1110305,11103,5,S11
1110306,11103,6,S10
1110307,11103,7,S09
1110308,11103,8,S08
1110309,11103,9,S07
1110310,11103,10,S06
1110311,11103,11,S05
1110312,11103,12,S04
1110313,11103,13,S03
1110314,11103,14,S02
1110315,11103,15,01
1110316,11103,16,H02
1110317,11103,17,H03
1110318,11103,18,A04
1110319,11103,19,A05
1110320,11103,20,A06
1110321,11103,21,A07
1110322,11103,22,A08
1110323,11103,23,A09
1110324,11103,24,A10
1110325,11103,25,A11
1110326,11103,26,A12
1110327,11103,27,A13
1110328,11103,28,A14
1110329,11103,29,A15
1110330,11103,30,A16
1110331,11103,31,A17
1110332,11103,32,A18
1110333,11103,33,A19
1110334,11103,34,A20
1110335,11103,35,A21
1110336,11103,36,A22
1110337,11103,37,A23
1110338,11103,38,A24
1110339,11103,39,A25
1110343,11103,40,NULL
1110340,11103,41,A26
1110341,11103,42,A27
1110342,11103,43,A28
1110138,11104,1,H47
1110402,11104,2,H46
1110403,11104,3,H45
1110404,11104,4,H44
1110405,11104,5,H43
1110406,11104,6,H42
1110407,11104,7,H41
1110408,11104,8,H40
1110409,11104,9,H39
1110410,11104,10,H38
1110411,11104,11,H37
1110412,11104,12,H36
1110413,11104,13,H35
1110414,11104,14,H34
1110415,11104,15,H33
1110416,11104,16,M36
1110417,11104,17,M35
1110418,11104,18,M34
1110419,11104,19,M33
1110420,11104,20,H32
1110421,11104,21,H31
1110422,11104,22,H30
1110423,11104,23,H29
1110424,11104,24,H28
1110425,11104,25,H27
1110426,11104,26,H26
1110427,11104,27,H25
1110428,11104,28,H24
1110429,11104,29,H23
1110430,11104,30,H22
1110431,11104,31,H21
1110432,11104,32,H20
1110433,11104,33,H19
1110434,11104,34,H18
1110434,11105,1,H18
1110502,11105,2,H17
1110503,11105,3,NULL
1110504,11105,4,NULL
1110505,11105,5,NULL
1110506,11105,6,K15
1110507,11105,7,NULL
1110508,11105,8,NULL
1110509,11105,9,NULL
1110510,11105,10,NULL
1110511,11105,11,NULL
1110512,11105,12,NULL
1110513,11105,13,NULL
1110327,11105,14,A13
1110335,11106,1,A21
1110602,11106,2,T22
1110603,11106,3,T23
1110604,11106,4,T24
1110605,11106,5,T25
1110606,11106,6,T26
1110607,11106,7,T27
1110608,11106,8,T28
1110609,11106,9,T29
1110610,11106,10,T30
1110611,11106,11,T31
1110612,11106,12,T32
1110613,11106,13,T33
1110614,11106,14,T34
1110615,11106,15,T35
1110616,11106,16,T36
1110617,11106,17,T37
1110618,11106,18,K23
1110618,11107,1,K23
1110702,11107,2,K24
1110703,11107,3,K25
1110704,11107,4,K26
1110705,11107,5,K27
1110706,11107,6,K28
1110707,11107,7,K29
1110708,11107,8,K30
1110709,11107,9,K31
1110710,11107,10,K32
1110711,11107,11,K33
1110712,11107,12,K34
1110713,11107,13,K35
1110714,11107,14,K36
1110715,11107,15,K37
1110716,11107,16,K38
1110717,11107,17,K39
1110718,11107,18,K40
1110719,11107,19,K41
1110720,11107,20,K42
1110721,11107,21,K43
1110722,11107,22,K44
1110723,11107,23,K45
1110724,11107,24,K46
1110725,11107,25,K47
1110726,11107,26,K48
1110727,11107,27,K49
1110728,11107,28,K50
1110729,11107,29,K51
1110730,11107,30,K52
1110731,11107,31,K53
1110731,11108,1,K53
1110802,11108,2,B54
1110803,11108,3,NULL
1110804,11108,4,NULL
1110805,11108,5,NULL
1110806,11108,6,NULL
1110807,11108,7,NULL
1110808,11108,8,NULL
1110809,11108,9,NULL
1110810,11108,10,NULL
1110811,11108,11,NULL
1110812,11108,12,NULL
1110813,11108,13,NULL
1110814,11108,14,NULL
1110815,11108,15,NULL
1110816,11108,16,NULL
1110817,11108,17,NULL
1110818,11108,18,NULL
1110819,11108,19,NULL
1110820,11108,20,NULL
1110821,11108,21,NULL
1110434,11109,1,H18
1110502,11109,2,H17
